ID,Song,Artist_ID,Album_ID_1,Album_ID_2,Album_ID_3,Album_ID_4,Album_ID_5,Album_ID_6,Album_ID_7,Album_ID_8,Album_ID_9,Album_ID_10
157,Hurricane,1,13,14,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,Praise God,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,Jonah,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,Ok Ok,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,Junya,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,Believe What I Say,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,24,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,Remote Control,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,Moon,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,Heaven and Hell,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,Donda,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,Keep My Spirit Alive,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,Jesus Lord,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,New Again,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,Tell The Vision,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,Lord I Need You,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,Pure Souls,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,Come to Life,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,No Child Left Behind,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,Jail pt 2,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,Ok Ok pt 2,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,Junya pt 2,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,Jesus Lord pt 2,1,13,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,Life Of The Party (with André 3000),1,14,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,Up From The Ashes,1,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,Remote Control pt 2,1,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,Never Abandon Your Family,1,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,Keep My Spirit Alive pt 2,1,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,All Falls Down - Live From The House of Blues/2004,1,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,Jesus Walks - Live Version,1,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,Spaceship - Live Version,1,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,The New Workout Plan - Live Version,1,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,We Don't Care - Live Version,1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,Diamonds From Sierra Leone - Remix feat. Jay-Z,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,Impossible - Radio Edit,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,Stronger - A-Trak Remix (Explicit),1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,Stronger - Andrew Dawson Remix (Explicit),1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,Christmas In Harlem,1,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,Cold,1,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,Mercy,1,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,Only One,1,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,All Day,1,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,Ye vs. the People (starring TI as the People),1,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,Lift Yourself,1,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,XTCY,1,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,I Love It (& Lil Pump),1,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,Wash Us In The Blood,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,True Love,1,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
